instructor,instructor_first_name,course,course_name,num_excellence_awards,num_outstanding_awards,uiuc_award,national_award,rmp_num_reviews,rmp_rating,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,term,num_sections,gened,num_semesters,num_students,avg_gpa,total_faculty_awards,teaching_next_semester
Beck,David,HIST 277: Encounters in Native America,Encounters in Native America,3.0,0.0,[],[],0.0,,0.27058823529411763,0.16470588235294117,0.15294117647058825,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.03529411764705882,0.047058823529411764,0.023529411764705882,0.0,0.03529411764705882,0.0,0.03529411764705882,"['fa2023', 'fa2024', 'fa2025']",3.0,"Humanities - Hist & Phil, Cultural Studies - US Minority",2,85.0,3.2592941176470585,0,True
Lehman,David,HIST 277: Encounters in Native America,Encounters in Native America,0.0,0.0,[],[],0.0,,0.13333333333333333,0.5111111111111111,0.2,0.06666666666666667,0.044444444444444446,0.0,0.022222222222222223,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,['fa2021'],1.0,"Humanities - Hist & Phil, Cultural Studies - US Minority",1,45.0,3.7633333333333336,0,False
LaPier,Rosalyn,HIST 278: Native American History,Native American History,2.0,0.0,[],[],0.0,,0.2,0.2571428571428571,0.08571428571428572,0.08571428571428572,0.14285714285714285,0.05714285714285714,0.0,0.05714285714285714,0.0,0.0,0.05714285714285714,0.0,0.05714285714285714,"['sp2023', 'sp2025']",1.0,"Humanities - Hist & Phil, Cultural Studies - US Minority",1,35.0,3.181142857142857,0,False
Quinones-Rivera,Maritza,HIST 280: Caribbean Latina/o Migration,Caribbean Latina/o Migration,1.0,0.0,[],[],0.0,,0.0,0.6551724137931034,0.06896551724137931,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.0,0.0,0.0,0.0,0.06896551724137931,['fa2024'],1.0,"Humanities - Hist & Phil, Cultural Studies - US Minority",1,29.0,3.4482758620689653,0,False
Burgos,Adrian,HIST 280: Caribbean Latina/o Migration,Caribbean Latina/o Migration,3.0,9.0,[],[],19.0,4.6,0.036585365853658534,0.47560975609756095,0.24390243902439024,0.14634146341463414,0.04878048780487805,0.0,0.0,0.024390243902439025,0.012195121951219513,0.0,0.012195121951219513,0.0,0.0,"['fa2019', 'sp2019', 'sp2021', 'sp2024']",4.0,"Humanities - Hist & Phil, Cultural Studies - US Minority",4,82.0,3.6589024390243905,0,False
Polanski,Julian,HIST 281: Constructing Race in America,Constructing Race in America,0.0,0.0,[],[],0.0,,0.29850746268656714,0.3283582089552239,0.16417910447761194,0.11940298507462686,0.029850746268656716,0.0,0.014925373134328358,0.014925373134328358,0.0,0.014925373134328358,0.0,0.0,0.014925373134328358,['fa2024'],3.0,"Humanities - Hist & Phil, Cultural Studies - US Minority",1,67.0,3.6816417910447763,0,False
Bozzi Feijo,Brunna,HIST 281: Constructing Race in America,Constructing Race in America,0.0,0.0,[],[],0.0,,0.17391304347826086,0.6956521739130435,0.028985507246376812,0.043478260869565216,0.014492753623188406,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.014492753623188406,0.014492753623188406,['fa2023'],3.0,"Humanities - Hist & Phil, Cultural Studies - US Minority",1,69.0,3.8018840579710145,0,False
Sundarsingh,Alexandra,HIST 281: Constructing Race in America,Constructing Race in America,0.0,0.0,[],[],0.0,,0.0,0.5068493150684932,0.273972602739726,0.0547945205479452,0.0821917808219178,0.0410958904109589,0.0,0.0136986301369863,0.0,0.0,0.0,0.0,0.0273972602739726,['fa2021'],3.0,"Humanities - Hist & Phil, Cultural Studies - US Minority",1,73.0,3.5990410958904113,0,False
Garcia Rojas,Margarita,HIST 281: Constructing Race in America,Constructing Race in America,0.0,0.0,[],[],0.0,,0.24285714285714285,0.44285714285714284,0.11428571428571428,0.04285714285714286,0.05714285714285714,0.014285714285714285,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.02857142857142857,['fa2023'],3.0,"Humanities - Hist & Phil, Cultural Studies - US Minority",1,70.0,3.628857142857143,0,False
Kelley,Kurtis,HIST 281: Constructing Race in America,Constructing Race in America,0.0,0.0,[],[],0.0,,0.04316546762589928,0.5467625899280576,0.17985611510791366,0.07913669064748201,0.06474820143884892,0.014388489208633094,0.007194244604316547,0.014388489208633094,0.014388489208633094,0.0,0.0,0.0,0.03597122302158273,"['fa2020', 'fa2021', 'fa2022', 'sp2020']",10.0,"Humanities - Hist & Phil, Cultural Studies - US Minority",4,139.0,3.585539568345323,0,False
