,all_values,high_outliers,low_outliers,q0,q1,q2,q3,q4,word
6,"80,100,40,100,120,50,20,50,50,30,250,100,40,60,40,100,200,40,20,80,200,30,56,40,35,75,12,1,20,60,15,100,60,40,70,50,200,60,500,400,100,40","250,200,200,200,500,400",,1.0,40.0,58.0,100.0,120.0,Scores Of
4,"24,20,24,24,60,24,24,101,24,24,36,36,36,2,24,24,24,24,30,24,50,40,24,24,24,60,24,1,30,72,25,30,48,12,50,25,36,40,30,24,24,36","60,101,60,72","2,1",12.0,24.0,24.0,36.0,50.0,Dozens
2,"10,25,15,50,15,25,10,20,22,10,50,10,5,30,9,25,10,15,10,50,40,20,25,25,20,17,5,1,30,20,20,50,100,15,15,20,10,15,100,35,25,10","50,50,50,50,100,100",,1.0,10.0,20.0,25.0,40.0,Many
5,"5,8,5,10,4,15,4,8,8,5,15,8,7,5,5,10,5,8,5,15,25,8,5,10,6,5,4,3,9,5,10,10,15,8,15,8,25,6,8,8,8,8","25,25",,3.0,5.0,8.0,10.0,15.0,Some
0,"7,6,4,5,6,8,7,6,3,3,10,5,20,10,4,7,7,5,3,5,20,4,12,15,3,9,6,2,5,7,10,10,7,10,10,3,50,8,6,10,7,5","20,20,50",,2.0,5.0,7.0,10.0,15.0,Several
1,"3,3,3,5,4,5,3,3,3,3,5,3,3,3,3,3,4,3,5,2,10,3,3,5,3,5,3,3,6,4,10,5,4,4,2,4,4,5,3,6,3,3","10,10",,2.0,3.0,3.0,5.0,6.0,A Few
3,"2,4,2,2,3,2,4,2,2,2,4,2,2,2,2,3,3,2,2,3,2,2,2,2,2,4,2,1,5,2,6,5,2,4,3,2,2,3,10,6,2,2","5,6,5,10,6",,1.0,2.0,2.0,3.0,4.0,A Couple
